campus_name,campus_location,rating,students,community_type,community_size
"University of Maryland, College Park","College Park, MD",5,37952,large urban city,34190
University of Michigan-Dearborn,"DEARBORN, MI",3,9000,medium city,107710
SUNY Westchester Community College,"Valhalla, NY",4,13000,very small town,3052
University at Buffalo,"Buffalo, NY",3.5,29850,medium city,276486
Slippery Rock University,"Slippery Rock, PA",4,8500,rural community,3591
Emory University,"Atlanta, GA",4.5,14769,large urban city,499127
Washington State University,"Pullman, WA",5,19446,small town,32508
Davidson College,"Davidson, NC",4,1850,small town,15771
Virginia Commonwealth University,"Richmond, VA",4.5,31500,medium city,229395
Northern Arizona University,"Flagstaff, AZ",4.5,29000,small city,75907
"California State University, Long Beach or Long Beach State","Long Beach, CA",4.5,36846,medium city,451307
University of La Verne,"La Verne, CA",2.5,8600,small city,30380
"Rutgers, The State University of New Jersey-New Brunswick","New Brunswick, NJ",5,48000,large urban city,776827
Gettysburg College,"Gettysburg, PA",4.5,2400,very small town,8558
Northern Illinois University,"DeKalb, IL, IL",5,16234,small city,40220
Trinity College,"Hartford, CT",5,2159,medium city,120686
Augsburg University,"Minneapolis, MN",5,3537,large urban city,425096
Ithaca College,"Ithaca, NY",5,6000,small city,32870
Portland State University,"Portland, OR",5,25000,large urban city,635067
Northwestern University,"Evanston, IL",4,21215,small city,75544
University of Colorado at Boulder,"Boulder, CO",5,30000,small city,105485
Northeastern Illinois University,"Chicago, IL",2.5,10275,large urban city,2665000
Elon University,"Elon, NC",5,6500,small town,11250
Bridgewater State University,"Bridgewater, MA",4.5,10000,small city,27395
New Mexico State University,"Las Cruces, NM",4.5,16765,medium city,113888
University of Richmond,"Richmond, VA",4.5,3890,medium city,229395
Tufts University,"Medford, MA",5,11926,small city,65399
University of Nebraska at Omaha,"Omaha, NE",4.5,15500,large urban city,486153
Youngstown State University,"Youngstown, OH",3,11171,medium city,59144
"University of Massachusetts, Amherst","Amherst, MA",5,28500,small town,37819
West Virginia University,"Morgantown, WV",4.5,34000,small city,30277
Virginia State University,"Petersburg, VA",4,3400,small town,33394
Kansas State University,"Manhattan, KS",5,20000,small city,53829
Bentley University,"Waltham, MA",4.5,4100,small city,64065
Knox College,"Galesburg, IL",4,1300,small city,29255
Oakland University,"Rochester, MI",5,17170,small city,12832
Union College,"Schenectady, NY",5,2150,small city,68809
Montana State University-Bozeman,"Bozeman, MT",4,16902,small city,56123
Syracuse University,"Syracuse, NY",,14422,medium city,144451
"California State University, Northridge","Northridge, CA",4.5,36000,large urban city,70653
SUNY Oneonta,"Oneonta, NY, NY",4,5514,small town,15518
Montclair State University,"Montclair, NJ",5,21000,small city,38676
University of New Haven,"West Haven, CT",4,6500,small city,55004
University of Wisconsin,"Madison, WI",4.5,43193,medium city,272903
Lehigh University,"Bethlehem, PA",5,6950,small city,77617
Colgate University,"Hamilton, NY",4.5,3228,rural community,4100
George Mason University,"Fairfax, VA",5,39150,small city,24835
University of Houston,"Houston, TX",4.5,40000,large urban city,2303000
William & Mary,"Williamsburg, VA",,8500,small town,15909
College of Staten Island/CUNY,"Staten Island, NY",3.5,10185,large urban city,492925
Virginia Tech,"Blacksburg, VA",4,31000,small city,45610
Washington University in St. Louis,"St. Louis, MO",5,14000,medium city,286578
Eastern Michigan University,"Ypsilanti, MI",4.5,10500,small city,19732
University of Vermont,"Burlington, VT",5,11000,small city,44595
MIT,"Cambridge, MA",4.5,11000,medium city,118488
"University of Minnesota, Morris","Morris, MN",4,1900,very small town,5084
Kalamazoo College,"Kalamazoo, MI",4,1458,medium city,72873
Pace University,"New York, NY",5,12835,large urban city,8336000
"University of Maryland, Baltimore County","Baltimore, MD",3,14000,large urban city,569931
The University of Alabama,"Tuscaloosa, AL",4.5,38000,small city,110602
Michigan State University,"East Lansing, MI",4,50000,small city,47340
The Evergreen State College,"Olympia, WA",3.5,2100,small city,55669
Napa Valley College,"Napa, CA",4,5000,small city,78315
University of Tennessee,"Knoxville, TN",4,26000,medium city,195889
University of Missouri-Kansas City,"Kansas City, MO",4.5,16375,large urban city,509297
